1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
LGALS3	4	5	7	7	3	5	7	7	4	5	7	7	6	6	4	6	4	5
IGFBP3	4	5	6	5	6	6	6	5	6	6	5	5	6	6	6	6	5	5
ARF4	2	2	2	3	3	4	4	3	3	5	6	3	5	5	3	3	5	4
CAST	2	1	4	2	3	3	2	2	4	4	3	1	3	2	3	5	3	3
COMT	4	2	2	4	4	4	5	5	2	5	4	5	5	4	2	4	3	3
CDH3	3	4	0	4	5	4	2	4	4	4	0	5	4	4	3	4	2	4
IVD	3	2	3	5	4	4	3	4	5	6	5	1	6	3	5	4	5	6
YWHAB	5	2	7	4	6	6	6	6	6	7	6	6	7	6	5	7	5	6
STX2	4	1	5	1	5	2	5	2	6	2	7	2	5	1	5	2	5	1
ATP6V1E1	1	1	3	1	2	2	5	2	1	4	5	3	4	1	1	3	3	3
DLST	5	4	5	7	5	5	5	7	4	7	5	5	5	5	3	4	4	6
ECI1	6	3	6	7	6	7	6	5	5	7	5	4	6	7	4	5	5	5
STAT1	2	3	4	6	4	6	5	5	4	6	5	5	5	5	7	7	4	7
AKR1C3	3	1	3	4	4	4	6	4	4	5	6	4	4	4	3	2	2	4
FRK	2	0	7	5	5	5	4	3	6	5	6	5	5	4	5	5	5	5
USP5	3	2	5	4	5	5	4	5	1	5	5	4	6	5	4	5	5	6
RPS9	7	6	7	6	7	7	7	6	7	7	6	7	7	6	7	6	7	7
LGALS7	5	7	6	7	5	6	5	6	4	6	5	6	4	6	6	5	5	6
UQCRFS1	5	4	6	5	4	5	7	6	4	4	6	5	6	5	4	5	5	6
PREP	4	3	2	2	3	2	3	2	4	6	2	4	3	3	5	5	3	7
LSS	3	1	3	0	5	2	2	4	3	5	3	2	5	2	0	4	5	6
GSS	5	1	6	3	5	3	3	4	5	5	5	3	4	6	5	5	5	5
NDUFV1	1	0	5	3	4	4	4	5	3	5	4	2	5	4	2	3	5	5
CDC42	6	5	6	7	6	6	7	6	6	6	7	6	6	7	6	6	5	6
UBE2N	7	6	7	7	7	6	7	7	7	7	7	7	7	7	6	7	6	7
ARF3	6	5	7	6	6	7	7	7	7	7	6	5	6	7	4	4	4	4
STXBP1	3	0	6	1	2	1	4	2	2	1	5	1	6	0	3	1	4	2
NPC2	6	2	5	3	6	4	5	5	6	4	6	4	6	4	4	5	4	4
YWHAG	3	3	6	3	5	3	5	5	3	5	5	4	4	4	4	5	4	4
PSMC1	4	1	6	5	4	6	4	6	3	6	5	4	4	5	3	6	5	6
RPS16	5	4	5	7	5	5	5	7	5	6	6	5	5	6	5	5	5	5
H4C1	7	7	7	7	7	7	7	7	7	7	6	6	7	7	6	7	6	7
RACK1	4	2	6	4	5	4	5	6	6	6	3	3	6	5	3	4	3	5
ACTC1	3	2	4	4	3	4	3	5	2	3	3	4	3	5	2	2	2	3
RPL6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
LMNB2	4	1	6	4	6	5	6	6	5	5	5	4	6	4	6	5	6	6
GLO1	2	3	6	3	6	5	7	6	3	5	6	5	5	6	4	5	3	5
SSBP1	6	3	6	6	5	7	6	7	5	7	5	6	6	6	3	5	4	6
EFEMP1	5	2	5	3	7	2	6	3	7	4	7	3	7	3	5	3	4	5
ILF2	4	2	4	2	6	6	6	6	4	5	5	5	5	5	5	6	6	6
FLII	0	0	3	3	4	4	4	4	3	6	2	3	4	3	1	5	2	7
TUBB3	5	4	4	4	3	3	4	3	4	4	4	2	4	4	3	5	1	4
DCTN2	2	5	3	4	4	4	5	6	4	6	2	6	6	6	6	6	5	6
EIF3A	2	3	1	2	3	4	5	4	2	4	4	3	5	4	4	5	6	6
LASP1	5	5	5	6	6	5	5	6	6	6	5	6	6	6	6	5	6	6
PTGES3	5	3	6	7	4	5	6	7	4	5	6	4	6	4	3	4	5	5
RCN1	5	2	5	5	5	5	4	4	5	7	5	4	4	5	6	7	4	7
PCBP1	5	3	7	6	7	5	7	7	5	7	7	6	5	5	3	4	3	5
CDC37	1	5	4	5	3	5	4	6	2	7	4	3	4	5	2	2	2	5
PCK2	3	0	5	4	6	7	4	5	4	7	3	1	6	7	6	5	5	7
HNRNPUL2	3	2	5	3	6	2	5	6	5	6	2	2	6	4	5	3	5	5
EFHC1	1	2	7	3	2	2	5	2	3	3	6	3	7	2	1	3	3	3
ADGRF1	2	1	6	2	4	1	1	2	4	3	6	3	5	2	4	3	5	3
STEAP4	6	1	3	0	4	1	4	1	4	1	5	0	4	0	5	2	5	2
HIBCH	4	5	6	7	4	6	6	7	3	6	4	3	6	6	4	6	3	5
NAPRT	1	2	4	3	2	2	5	5	2	4	4	4	5	4	3	5	4	5
ERMP1	4	2	4	6	7	6	5	6	3	7	3	6	5	5	3	6	7	7
TMC4	6	5	7	5	7	6	6	6	7	7	7	5	7	6	7	7	7	6
GALNT5	3	5	4	6	2	5	3	7	2	7	4	6	1	7	4	5	3	7
DNAJC10	1	0	3	2	3	4	3	5	1	6	1	5	1	4	3	5	1	6
DDX60	1	1	1	4	1	1	1	4	0	5	2	3	0	4	1	4	0	7
C1orf87	1	1	4	3	4	3	4	3	3	3	6	3	6	3	2	1	3	1
KRT78	0	0	3	4	1	1	3	4	0	1	4	1	0	2	0	1	6	6
SCCPDH	3	2	4	3	3	3	4	7	2	7	5	5	6	5	2	5	3	6
STOML3	1	0	5	1	4	1	5	2	2	0	7	1	4	3	2	2	3	2
ERGIC1	3	3	6	6	4	2	4	6	3	6	3	4	4	6	5	6	5	6
LRRC59	4	3	6	5	6	5	6	6	6	7	5	5	7	7	5	7	7	6
FAM3D	7	6	7	6	6	6	7	7	6	7	5	6	6	7	5	4	5	5
S100A16	6	7	6	6	4	6	5	7	5	7	5	7	4	6	4	6	4	6
APOL2	3	2	6	5	4	7	5	7	5	7	4	4	5	5	3	6	4	6
ESYT1	2	2	6	4	5	5	4	7	5	6	4	4	3	5	5	6	6	5
TMED9	6	2	5	6	5	7	6	6	2	7	6	5	4	5	4	6	4	5
SARG	5	1	5	3	6	3	4	4	6	5	6	3	6	3	4	4	4	4
LZTFL1	1	1	5	3	4	2	5	4	4	3	5	3	6	3	5	3	4	3
NANS	3	3	5	4	4	5	5	5	3	6	5	4	6	6	4	3	4	4
ERAP1	5	1	6	4	6	6	7	7	4	7	5	2	6	5	6	6	5	6
SLC6A14	4	5	3	3	5	5	4	7	4	6	6	7	6	6	4	6	4	6
NUDC	3	3	7	3	6	4	7	3	5	6	7	5	7	4	4	5	6	5
VDAC3	5	2	6	6	5	6	6	7	5	6	6	6	6	6	4	6	4	6
NCKAP1	2	2	6	4	5	3	4	5	4	6	7	3	6	5	5	4	5	5
ACOT9	1	1	5	6	3	5	5	5	4	5	5	4	6	4	2	5	4	6
DHRS7	1	1	1	4	2	5	2	5	2	5	5	4	2	4	3	5	4	5
TLN1	5	6	4	4	5	3	5	5	4	7	5	4	5	6	4	7	6	6
GATD3B	4	2	5	3	5	4	5	4	4	5	5	5	5	3	5	5	5	5
CES2	1	2	4	2	3	4	4	4	3	4	5	5	2	3	4	2	2	4
TMPRSS2	1	3	3	3	4	5	1	5	3	5	2	4	4	4	2	5	2	5
CAPN5	1	0	2	3	3	3	4	3	4	4	5	5	4	2	1	2	3	3
CYB5B	3	2	5	4	3	4	4	4	1	5	3	3	3	3	2	5	5	5
PHGDH	3	2	5	2	5	4	5	4	5	4	5	3	5	5	5	4	4	5
OPA1	2	3	5	1	4	4	4	4	3	6	4	3	4	5	3	4	4	5
SEMA7A	5	3	3	2	5	4	2	3	6	6	1	3	5	6	6	6	2	4
CS	4	3	5	3	3	5	5	4	3	4	3	3	5	3	4	5	4	6
VPS26A	4	3	5	4	3	5	5	6	4	6	5	6	4	5	5	3	3	6
HSBP1	2	1	6	1	3	3	4	4	2	4	6	4	4	4	2	3	3	4
FLOT1	3	0	4	1	4	3	5	2	3	3	4	4	5	1	3	2	4	3
ERLIN2	2	1	5	3	3	2	4	4	4	3	4	4	4	3	4	4	4	5
ENDOD1	1	1	3	2	2	4	2	4	1	4	3	0	2	3	1	4	1	3
RAB3D	3	2	5	3	4	3	4	4	3	4	3	3	4	3	4	4	5	5
AGR2	5	5	5	6	5	6	5	5	5	5	5	6	5	6	4	4	4	5
NDUFB10	4	4	4	3	3	5	4	5	2	6	5	4	3	5	2	5	3	4
ADH1C	4	4	4	5	4	6	5	5	2	6	6	4	3	5	3	6	3	6
SOD2	4	6	6	5	5	5	6	6	4	5	5	4	5	6	5	6	5	6
SLC25A5	3	2	5	5	4	5	5	6	4	5	6	6	4	5	3	3	4	4
NPM1	4	2	4	4	5	5	4	5	4	5	5	4	4	5	1	4	2	4
DBI	3	5	5	5	4	6	6	5	4	4	6	5	3	4	2	4	3	2
TUBB	4	3	5	4	4	4	4	4	4	5	4	4	4	4	5	5	4	4
ENO2	0	1	2	3	3	1	4	4	1	4	2	3	3	2	3	5	1	4
CXCL1	6	3	5	4	6	5	5	5	6	6	5	5	6	5	4	5	3	4
HMGB1	3	3	4	5	4	4	5	4	4	4	3	5	4	4	4	4	4	4
FBP1	3	2	4	4	2	3	3	4	2	5	3	5	3	5	4	4	2	6
ALDOC	1	2	4	5	2	2	3	6	3	3	3	5	3	4	1	4	2	4
DBT	1	1	2	2	3	3	1	3	1	3	5	3	3	2	2	3	4	4
ACADM	2	0	4	4	3	3	4	5	2	4	4	3	4	4	3	4	4	5
HARS1	2	2	3	3	3	2	3	3	3	5	2	3	4	2	5	3	4	5
BMP1	5	2	2	2	4	3	2	2	6	5	3	2	3	3	5	5	4	4
C6	2	0	1	1	3	2	2	2	5	0	1	0	3	0	2	2	2	2
FDPS	4	4	4	5	5	5	5	5	5	5	4	4	5	5	3	4	4	5
UCHL3	3	4	5	6	3	4	4	6	4	6	3	6	2	6	3	4	3	5
NQO1	2	2	5	5	4	6	5	5	3	5	4	6	4	3	3	5	2	5
GOT1	4	2	3	4	1	3	4	4	4	4	3	5	3	5	4	5	3	4
RPL7	5	5	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6
PAM	3	4	4	2	3	4	2	3	4	3	5	4	5	3	5	5	4	4
TCN1	4	5	6	5	6	5	4	5	6	6	6	3	5	5	5	5	5	5
RAB6A	4	2	5	6	3	5	3	6	4	6	5	3	5	4	4	5	3	3
ATP6V1C1	1	1	2	2	0	2	2	3	1	5	2	3	1	2	3	4	3	5
CSRP1	3	3	4	5	4	5	3	5	3	4	4	5	3	5	3	4	3	4
NT5E	6	3	5	3	2	3	1	2	3	1	5	5	4	2	2	2	2	4
PCMT1	2	4	4	3	3	4	4	4	3	5	3	4	4	4	2	3	2	5
RPL13	3	2	6	4	5	5	5	5	4	6	4	5	5	4	4	5	5	5
YWHAQ	4	4	6	6	5	6	6	6	5	6	5	4	6	6	4	6	5	5
GNA11	5	1	6	4	6	4	6	4	6	4	6	5	6	4	5	4	5	5
RPL12	4	1	6	4	6	5	6	5	4	6	3	4	5	6	3	6	3	6
HNRNPH3	4	1	6	5	6	4	6	5	3	6	4	4	6	3	5	6	6	6
ARL3	4	2	6	6	6	4	6	6	6	5	6	6	6	6	5	4	4	5
RBMX	6	3	6	5	6	5	6	6	5	6	5	5	6	6	5	4	3	5
GCLC	2	1	6	4	4	4	4	5	2	6	6	4	3	6	2	4	5	6
IDH3A	4	4	5	4	6	4	5	4	5	6	3	5	6	4	6	6	4	6
ST13	5	1	6	5	6	6	6	6	5	6	6	6	6	6	6	6	6	6
RAB5C	3	2	4	4	4	4	5	4	3	5	4	4	5	4	2	5	4	4
HDGF	5	3	5	5	5	5	6	6	4	6	5	6	5	5	5	5	3	4
FUT6	3	1	3	5	4	6	5	5	4	5	5	2	5	5	4	5	4	4
HNRNPF	5	2	5	4	4	4	5	4	4	5	3	4	5	4	4	5	4	4
IST1	5	3	4	3	4	4	6	5	5	5	6	4	4	3	6	6	5	5
USP14	0	2	3	3	3	4	4	4	1	4	4	3	4	4	2	3	3	3
NAPA	3	3	5	5	5	5	5	5	3	5	5	4	5	5	3	5	3	5
SLC12A2	3	3	3	3	1	4	2	3	2	5	3	4	3	4	3	5	2	6
PSMD4	5	2	5	5	6	5	6	5	5	6	5	3	6	5	6	5	6	6
HNRNPH2	4	2	5	4	5	3	5	5	4	6	3	2	5	4	3	4	3	4
DNAJB13	2	0	4	2	2	2	5	1	2	2	6	1	5	3	2	2	1	1
EIF4A1	5	3	4	2	5	3	4	4	5	5	4	2	4	2	4	4	4	5
RAB5B	3	2	4	3	4	4	4	3	4	4	5	4	4	4	4	3	3	5
RAB10	5	4	6	5	6	6	6	5	6	6	5	5	6	5	6	6	6	6
RAB14	2	1	3	2	2	3	4	3	5	4	4	1	4	4	2	4	3	4
HSPE1	6	4	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	6
B2M	5	5	5	6	5	5	6	5	5	5	5	5	5	6	5	5	5	5
RPS8	5	4	5	5	4	5	4	5	4	5	4	4	4	5	5	5	5	5
RPS15A	5	2	4	4	6	5	6	6	4	6	4	4	6	5	3	6	4	5
RAB1A	0	3	3	2	4	5	2	4	2	5	2	3	1	4	4	4	3	5
RPL23	4	3	5	4	5	5	4	5	3	5	4	5	4	5	3	4	4	5
GNAI1	5	2	5	5	5	4	4	3	6	3	6	4	5	3	5	4	2	5
EIF5A	4	3	5	5	6	4	5	5	4	5	5	4	5	5	4	5	4	5
TUBA4A	4	4	6	6	6	6	6	6	6	6	6	6	6	6	4	5	6	5
RPL24	6	3	6	4	5	5	4	6	5	6	4	5	5	5	3	4	5	5
CYCS	4	3	5	4	3	4	4	4	3	5	3	5	2	5	3	4	2	5
SET	5	5	6	3	5	4	3	5	5	5	5	4	5	4	4	5	3	5
AP1B1	1	2	4	1	0	2	4	2	1	4	3	3	2	4	1	2	1	3
ASPH	3	1	4	3	3	5	3	3	3	6	3	3	2	4	3	3	4	5
DLG1	1	3	3	3	5	3	5	4	3	6	3	4	4	5	6	6	3	5
HNRNPD	5	3	3	5	3	6	6	5	3	6	4	5	4	5	3	3	3	3
SCARB2	5	2	5	4	5	4	4	5	3	5	4	3	4	4	3	5	4	4
CRYM	3	2	3	3	2	3	3	3	3	4	3	4	5	5	3	4	3	4
PSMD6	4	3	4	5	4	5	6	5	2	6	4	5	4	5	1	4	5	6
PON2	3	3	2	2	3	4	4	3	3	4	4	3	4	4	3	4	4	4
UAP1	0	0	1	4	0	3	0	3	0	4	0	3	0	5	1	5	1	5
DECR1	4	4	6	6	6	5	5	6	5	6	5	5	6	6	4	6	6	6
TST	3	3	4	5	3	4	5	5	2	4	4	4	3	4	3	3	3	3
TXNRD1	3	1	4	2	4	5	4	5	3	5	4	4	4	4	3	5	3	4
MIA3	1	1	0	3	1	2	0	4	1	5	1	3	3	4	1	4	3	5
EFHC2	0	1	4	0	1	0	3	2	1	0	3	1	5	0	1	0	3	1
GNAS	2	1	5	4	3	3	5	5	4	4	6	4	5	4	4	5	4	4
C6orf132	0	0	5	0	2	1	4	2	1	2	5	2	5	3	3	2	6	2
ATL3	3	1	6	3	5	4	4	4	2	6	2	3	5	3	3	5	4	6
VMO1	5	2	4	3	5	5	4	5	5	4	4	2	5	4	4	4	4	4
TTC30A	0	1	2	3	1	1	4	3	3	1	2	3	5	1	0	2	3	1
LSR	6	4	4	3	5	5	4	3	6	6	6	4	5	5	4	3	2	4
CAMK1D	1	0	2	5	1	4	2	5	1	5	2	5	1	5	1	4	2	3
GALNT4	2	2	3	3	3	5	1	6	3	5	3	6	3	5	2	6	2	6
FUBP1	4	2	5	3	4	4	5	6	4	6	4	4	4	5	6	5	6	5
ROPN1L	1	1	5	1	4	1	5	2	2	1	5	3	5	1	1	1	2	0
OTUB1	4	3	5	4	5	4	5	5	4	5	4	5	5	5	4	5	4	6
AK8	0	1	3	2	1	2	5	2	1	0	3	3	6	3	1	1	2	1
IFT140	2	1	2	2	4	0	4	2	1	2	3	5	5	3	2	1	1	3
CNN2	4	2	2	1	3	3	3	4	2	4	2	1	3	2	3	5	2	4
CPNE1	5	1	3	2	3	3	5	5	2	4	3	2	3	2	5	5	6	6
DHRS9	2	1	3	3	3	2	2	3	1	4	3	2	3	3	2	2	3	4
PRSS22	4	3	6	4	5	5	5	4	6	6	4	1	6	5	4	5	3	3
MUC13	1	2	3	4	3	3	0	2	4	4	3	4	4	3	2	2	5	5
CHMP4B	5	5	4	4	4	5	4	4	5	4	5	5	4	5	4	5	4	4
ACAD9	1	0	2	4	4	3	3	5	1	3	2	2	5	5	3	5	5	5
BPIFA1	6	5	6	3	5	5	5	2	6	3	6	4	6	5	5	4	5	3
OLA1	3	4	6	6	6	5	5	6	5	6	6	5	6	6	5	6	6	5
ABHD10	0	0	3	2	3	2	4	5	2	6	3	1	4	4	2	4	4	6
TES	3	4	4	4	5	5	5	5	4	5	4	3	4	5	4	5	4	5
LIMA1	5	2	3	2	2	4	3	2	4	5	1	2	4	4	4	4	3	5
ATP6V1H	2	0	3	3	3	2	2	3	1	3	4	1	4	3	2	2	2	3
NAGK	5	1	5	4	3	4	6	5	5	6	4	2	5	5	5	6	6	5
DBNL	1	1	4	1	3	3	3	2	0	4	3	2	3	3	3	4	4	4
PSME2	4	4	6	5	6	6	6	6	4	6	5	6	5	6	5	6	5	6
PYCARD	2	2	5	3	4	4	5	4	3	4	5	4	6	6	3	5	4	5
NSFL1C	1	1	3	3	1	2	4	3	3	3	2	3	1	1	1	1	1	3
EIF3L	2	2	4	3	4	5	5	3	3	4	3	1	4	3	3	3	3	4
STRAP	2	3	4	2	4	3	2	2	3	4	3	2	4	4	4	3	4	5
ESYT2	3	1	5	2	3	3	3	4	4	5	2	4	4	3	4	4	3	5
KIF2A	0	0	4	3	1	1	4	3	2	3	3	3	5	3	2	2	2	0
EIF3F	1	2	3	3	2	2	3	3	2	3	1	2	2	2	2	3	1	3
PODXL	3	2	4	5	4	2	2	3	4	5	4	4	5	5	4	5	2	3
PSMA7	5	3	5	3	5	4	5	4	5	5	4	4	5	5	5	5	5	5
HNRNPDL	3	2	4	3	3	5	2	5	4	4	4	3	4	3	3	4	4	4
XPO1	1	3	2	3	3	2	3	2	0	2	4	3	2	2	1	3	2	2
PLXNB2	2	2	4	3	2	2	3	2	2	5	2	2	3	3	3	4	4	4
PGRMC2	3	2	2	2	4	4	4	3	2	5	1	3	3	4	2	3	2	5
SLC31A1	4	3	3	2	3	2	2	5	2	4	3	5	3	3	3	2	1	3
PSMD3	2	2	3	2	3	4	3	4	2	4	3	2	2	3	2	4	3	3
PRODH	1	0	2	4	2	2	2	4	0	4	4	4	2	2	2	4	2	3
SPINT1	3	3	3	2	3	3	3	3	4	3	2	2	3	3	4	3	2	2
TXNL1	2	3	5	5	4	5	5	5	4	5	5	5	4	4	3	5	5	5
AKR7A2	0	1	4	2	1	2	3	4	3	3	2	2	4	3	3	4	2	4
ATP8B1	1	0	2	1	0	1	3	3	1	1	5	3	2	2	2	1	2	2
IDH3B	3	0	5	0	3	2	3	3	0	4	4	1	3	4	0	2	3	5
B4GALT4	4	2	3	4	4	3	3	4	4	3	3	4	4	2	3	3	4	3
TLR2	4	0	2	0	5	1	1	1	3	2	2	0	4	3	5	4	1	2
TBCA	2	4	4	4	3	2	5	4	4	5	5	5	4	4	2	4	4	4
GPC4	2	1	2	2	3	2	2	3	3	2	3	3	3	3	3	2	3	3
SF3B1	0	0	2	3	2	3	3	3	1	4	3	1	2	2	2	3	3	5
CSDE1	1	0	4	2	3	3	4	3	2	5	4	0	3	2	4	4	5	5
CBR3	1	1	3	3	2	2	3	4	2	5	2	2	2	4	1	4	0	3
ARL6IP5	3	4	5	3	5	5	4	5	4	5	4	5	3	3	4	4	4	4
GLRX3	2	3	4	3	2	4	4	5	4	4	3	3	2	4	4	4	4	4
TOMM70	4	3	3	3	3	4	4	4	3	5	3	3	4	3	4	3	4	4
PRSS23	3	1	2	0	3	1	1	2	5	3	3	0	3	0	3	2	3	1
GCNT3	1	4	1	1	1	3	1	2	1	5	2	2	2	2	0	3	1	4
AHSA1	1	0	4	2	3	2	4	3	1	4	5	1	3	1	4	5	4	3
DDX58	0	0	1	1	1	1	0	2	0	4	0	0	2	0	1	2	1	4
EML2	3	1	5	3	5	5	5	4	4	5	5	5	5	5	5	4	4	5
TXNDC12	3	2	2	1	3	2	4	3	2	3	4	3	4	3	2	3	3	4
CFD	2	2	4	4	1	1	3	1	3	1	3	2	5	2	4	2	5	4
HLA-DRA	5	4	5	5	5	5	5	4	5	5	5	5	4	5	5	5	4	5
HLA-DRB1	2	3	3	4	1	1	3	3	4	5	3	3	5	4	1	3	2	3
FTH1	5	5	5	4	4	5	5	5	4	4	5	4	3	5	5	5	3	5
FUCA1	2	3	1	2	3	2	2	3	3	3	2	2	2	2	3	1	3	3
CSTB	4	3	3	3	5	4	3	4	4	3	5	3	4	3	4	3	2	5
KRT6B	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	4	4
APOD	4	3	4	1	2	2	4	3	4	3	4	2	5	4	4	4	5	4
PCCA	1	0	0	1	2	2	2	3	2	3	4	3	3	2	1	2	1	3
EIF2S1	5	2	4	4	4	3	3	5	3	3	5	4	3	2	5	5	4	5
APRT	4	3	5	4	4	4	4	5	4	4	5	5	4	5	4	5	5	4
LAMP1	5	4	5	4	5	4	5	4	4	5	5	4	4	4	5	5	4	5
CD59	5	4	5	4	5	4	5	5	5	5	5	5	5	5	4	4	4	4
UQCRB	5	4	5	4	4	5	5	5	2	5	2	5	4	4	4	4	4	4
GLUL	1	2	3	1	2	0	4	3	2	0	5	2	3	0	1	0	4	2
CD44	3	5	2	4	5	5	2	5	4	5	2	5	3	5	2	4	3	4
H1-5	4	2	4	5	4	4	5	5	4	5	4	5	4	4	3	5	4	4
RCC1	3	3	5	5	4	4	5	4	3	5	3	3	5	5	4	4	4	4
ATP5PF	2	0	4	4	3	2	4	4	1	4	2	4	3	3	1	1	1	2
NDUFV2	1	2	3	3	4	3	4	5	4	5	4	3	5	5	4	5	4	5
PI3	3	1	4	3	4	2	4	2	5	4	4	2	4	3	4	4	3	3
ATP6V1B2	4	5	4	4	3	5	4	5	3	5	4	4	4	5	3	4	3	5
SFPQ	4	3	4	4	4	5	5	5	4	5	4	4	4	5	4	5	4	4
EEF1B2	2	3	4	4	3	4	4	4	3	5	3	3	3	4	3	4	3	3
MPST	1	0	3	3	2	2	3	4	1	3	3	4	3	2	2	2	2	3
PSMA3	4	3	5	4	4	5	5	4	4	4	5	5	4	5	4	5	4	4
TARS1	3	3	4	4	4	5	4	5	3	5	4	3	4	5	4	5	4	4
VARS1	1	1	4	4	3	2	4	4	3	5	3	4	2	4	3	5	5	5
PSMB4	2	3	5	2	4	2	4	3	3	5	4	3	4	2	3	3	2	3
DNAJA1	3	1	4	1	3	4	4	4	2	4	4	2	4	4	2	2	3	3
GPC1	2	4	2	0	2	4	1	3	2	2	0	3	2	1	4	1	3	2
SPR	0	1	4	3	2	4	4	5	0	5	2	4	5	5	2	4	3	5
HMGCL	2	3	4	3	3	4	4	4	2	4	3	3	4	4	4	3	4	4
ATP5F1C	5	2	5	4	5	4	5	5	4	5	5	3	5	5	4	5	5	5
RPS19	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5
CETN2	0	1	3	2	3	1	3	2	2	2	4	1	4	1	3	3	4	1
PSMC4	2	0	4	1	3	4	5	4	1	5	4	4	2	5	1	3	2	4
RPL5	3	1	4	3	3	2	4	5	4	5	4	3	4	5	3	4	3	4
RPS5	3	2	4	3	4	4	4	4	3	4	3	3	4	4	4	3	3	4
STT3A	3	1	3	3	4	5	3	4	2	4	4	3	4	5	3	4	4	4
ATP5PO	4	3	4	3	4	5	4	4	4	5	4	4	4	4	4	5	5	5
AARS1	0	1	2	2	2	1	3	3	1	3	3	2	3	2	3	5	3	4
CPT1A	0	0	0	0	1	0	0	2	0	3	1	0	3	0	0	1	2	4
SERPINH1	4	2	3	3	3	3	3	2	3	4	3	2	3	2	3	3	3	3
LRBA	2	1	4	4	2	3	4	3	2	3	3	3	2	4	1	3	4	4
RAB13	1	0	4	3	3	3	3	4	3	5	2	3	3	3	2	3	3	3
SSR4	4	3	4	4	5	4	5	4	5	5	5	3	5	4	5	4	5	5
MANF	2	1	3	4	2	3	5	3	2	3	4	4	4	3	2	2	3	4
NAP1L1	3	2	5	5	5	4	5	4	5	5	5	5	5	5	3	5	4	5
MARS1	2	1	4	3	1	4	3	4	0	4	4	2	3	3	2	4	3	3
NME5	0	1	3	2	0	2	4	1	2	1	5	1	4	1	1	1	2	1
PSMA6	3	3	4	4	5	4	4	4	5	5	4	2	5	4	4	4	4	5
ATP6V0D1	4	0	4	4	4	3	5	5	3	4	4	4	4	3	3	4	3	5
RPS7	4	2	4	3	4	4	3	4	4	5	3	4	3	3	5	4	5	5
PPP1CB	3	2	4	3	3	3	5	4	2	4	4	3	3	3	2	2	3	3
RPS14	4	3	5	4	5	4	5	5	4	5	4	4	4	5	5	4	5	4
PPP2CB	2	1	4	3	4	1	3	4	3	4	3	1	5	2	2	4	2	4
RAN	4	5	5	4	4	5	5	5	4	5	4	5	4	5	4	4	4	4
RPS24	4	2	5	3	5	3	3	5	4	5	5	5	5	4	3	2	3	3
RPL10A	4	4	5	5	5	4	5	5	5	5	5	5	4	5	4	4	4	3
RAC1	3	3	4	4	4	5	5	5	4	5	5	5	4	4	2	3	3	5
PPP2R2A	3	1	3	2	3	3	3	3	2	3	3	3	2	3	3	3	3	3
RPS21	2	0	4	3	3	4	4	5	2	4	4	3	2	5	1	3	1	2
YBX1	0	1	1	1	1	1	3	2	2	4	1	2	2	3	2	3	1	4
ABAT	1	0	1	2	1	1	2	4	1	3	2	2	0	2	2	3	3	5
ALDH6A1	1	0	3	3	2	2	2	4	0	4	1	3	2	2	0	4	3	4
AKR1C1	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4
APLP2	1	4	4	3	1	4	4	2	2	3	2	4	2	3	2	3	1	2
KHDRBS1	4	2	5	3	4	3	5	4	2	5	3	3	3	3	3	4	4	3
CRYZ	3	1	3	1	3	1	4	3	3	5	5	1	5	1	2	2	4	4
GALNT2	4	1	5	1	4	4	4	3	4	3	4	2	4	3	4	3	3	3
STX3	3	4	4	2	2	2	2	4	5	5	3	4	4	2	4	3	4	5
G3BP1	2	2	4	5	3	3	2	5	4	5	5	3	4	4	2	4	4	4
TCIRG1	3	2	4	3	4	4	3	4	2	4	3	3	4	4	2	5	5	5
TRIM29	2	3	5	4	3	4	5	4	5	5	4	4	4	4	5	5	5	5
MLEC	3	0	2	1	4	2	4	2	2	3	4	1	3	2	2	2	3	3
GALNT3	4	1	3	2	3	3	3	4	4	4	3	5	4	2	4	5	4	4
ITIH4	3	2	3	2	2	3	3	3	2	3	4	2	3	3	3	4	3	1
PTGR1	4	1	4	4	5	5	4	2	5	5	4	3	4	5	3	4	2	4
EFTUD2	4	1	4	3	2	4	5	3	1	5	3	4	4	3	4	5	4	5
ACOX1	1	1	1	2	1	2	2	3	1	4	1	3	1	2	0	1	2	3
PLCB4	1	1	3	2	0	1	4	3	2	0	5	3	4	2	1	2	4	3
NONO	1	1	2	3	2	4	4	5	1	3	2	4	2	3	1	3	2	2
SPA17	2	0	4	1	2	2	5	3	2	1	4	1	5	2	2	0	1	0
CST6	5	1	4	2	4	2	5	3	4	3	3	3	5	2	3	4	4	3
