1_153109_AG_H_BSA	1_153109_AG_H_IL13	2_153087_AG_A_BSA	2_153087_AG_A_IL13	3_156680_AA_H_BSA	3_156680_AA_H_IL13	4_154741_AA_A_BSA	4_154741_AA_A_IL13	5_153477_GG_A_BSA	5_153477_GG_A_IL13	6_153870_GG_H_BSA	6_153870_GG_H_IL13	7_156466_AA_A_BSA	7_156466_AA_A_IL13	8_152328_AG_A_BSA	8_152328_AG_A_IL13	9_153741_GG_H_BSA	9_153741_GG_H_IL13
GANAB	16	13	21	18	20	20	21	20	15	26	18	17	16	21	18	21	18	23
TGFBI	22	16	17	15	24	21	14	18	22	24	14	17	20	21	17	20	13	18
GSTP1	22	18	23	21	23	23	23	20	20	22	23	24	22	21	19	19	17	20
MSN	16	16	20	12	21	13	19	15	21	19	20	11	21	15	20	19	18	18
CTNNA1	13	9	17	16	16	19	18	19	13	20	14	17	14	20	13	17	9	17
GLUD1	20	19	24	23	21	24	25	25	19	25	25	22	23	23	15	21	20	21
ACTN1	22	16	17	16	20	19	21	19	23	21	19	16	18	18	19	20	16	15
ANPEP	23	8	17	8	23	11	16	4	22	12	15	4	21	7	21	11	16	5
CCT8	18	10	24	14	21	21	23	23	20	22	21	16	22	20	19	17	20	20
EEF1A1	17	20	19	18	17	21	20	20	16	21	20	19	18	19	13	11	13	16
FER1L6	8	9	9	17	5	14	6	13	7	20	13	17	14	14	7	15	7	16
PROM1	24	10	23	17	23	14	24	21	24	9	24	20	25	20	21	14	19	14
ANXA1	22	22	23	23	22	23	24	24	21	24	23	24	21	23	18	21	21	20
ENO1	20	18	23	22	22	22	22	23	21	23	22	22	22	22	20	18	18	19
KRT16	10	12	23	23	15	17	19	23	12	18	22	18	15	19	13	17	17	16
CTSC	14	9	12	16	16	16	18	23	16	18	13	17	14	17	12	14	7	15
OGDH	14	12	17	17	15	13	15	22	8	20	14	14	14	19	12	18	17	22
KRT17	22	21	23	24	23	23	22	22	22	23	22	21	22	23	18	19	19	21
CTSD	19	9	22	16	21	15	22	18	21	19	20	18	20	18	14	12	17	12
ANXA4	16	14	19	21	17	20	18	20	16	19	18	21	19	21	15	17	18	16
ATP2A2	15	9	22	17	18	18	20	21	12	22	21	15	19	16	15	19	17	20
KRT9	20	5	12	5	23	6	17	8	22	8	14	3	8	5	14	13	12	9
ACADVL	14	13	19	19	19	20	17	22	12	22	18	16	18	19	15	20	17	19
SELENBP1	17	7	20	20	15	17	22	22	15	22	21	20	18	20	14	17	13	17
MSLN	16	16	22	21	20	22	21	22	20	22	22	21	19	21	18	22	20	22
RRBP1	12	13	18	16	20	20	17	19	15	20	13	15	17	19	17	20	12	19
IDH1	16	11	21	21	19	21	20	22	15	22	14	20	18	21	12	18	14	16
KRT1	15	2	12	7	21	6	19	13	23	7	16	8	10	8	12	10	10	14
THBS1	15	11	12	15	15	17	13	18	17	19	9	18	13	18	11	17	9	14
ATP5F1A	21	17	22	20	22	21	23	22	20	23	22	19	23	22	20	19	21	21
CALR	16	14	17	19	17	17	18	19	16	19	16	17	18	18	11	16	14	16
COPA	11	9	14	14	13	18	17	19	9	18	15	16	14	19	13	16	16	17
NPEPPS	12	15	18	19	15	19	19	19	17	19	16	17	15	19	18	19	13	19
NUCB1	17	15	16	17	17	17	17	20	19	16	16	15	18	18	17	15	17	14
CKAP4	17	14	16	17	18	22	15	21	16	23	16	16	16	19	17	19	19	21
EPS8L1	11	15	11	15	15	16	12	18	11	14	15	17	14	15	11	12	11	18
CNDP2	16	14	22	20	20	19	22	23	17	21	21	21	21	21	14	17	18	18
BAIAP2	19	16	22	21	21	20	22	22	22	22	22	22	22	22	17	16	16	18
SLC9A3R1	18	15	21	10	20	14	21	16	21	15	21	18	21	15	19	16	18	18
WDR1	12	10	16	13	15	12	15	13	19	18	19	13	16	14	13	13	16	17
SERPINA1	22	22	22	21	21	20	21	22	21	20	22	20	22	21	18	20	20	19
CAP1	12	14	17	15	16	17	14	18	14	20	14	13	15	16	15	15	11	13
ITPR3	11	6	11	14	10	12	11	18	8	19	7	12	9	18	9	19	11	18
ERICH3	0	0	13	4	9	2	14	12	8	3	13	8	20	9	3	3	8	4
NIBAN2	13	11	18	16	16	14	18	19	15	19	19	19	17	16	13	15	14	16
